Название,Тип,Количество,Длительность,Статус,Возростной рейтинг,Реитинг,Оценивают,Рецензий,Комментариев
Вперёд! Школьная секция пинг-понга, TV Сериал, 26, 24 мин, 1, R+, 7.52, Хорошо, 2, 65
Из завтрашнего дня разноцветного мира, TV Сериал, 13, 24 мин, 1, PG-13, 7.52, Хорошо, 87, 289
Озорная Такаги: Водные горки, OVA, 1, 23 мин, 1, PG-13, 7.52, Хорошо, 2, 24
Не издевайся Нагаторо: Вторая атака, TV Сериал, 12, 23 мин, 1, PG-13, 7.52, Хорошо, 16, 800
Тёмный дворецкий: Спецвыпуск, Спешл, 1, 26 мин, 1, PG-13, 7.52, Хорошо, 2, 20
Я в тебе не сомневаюсь, ONA, 24, 14 мин, 1, PG-13, 7.52, Хорошо, 2, 40
Тигр и кролик 2. Часть 2, ONA, 12, 24 мин, 1, PG-13, 7.52, Хорошо, 2, 25
Метрополис, Фильм, 1, 1 час 49 мин, 1, PG-13, 7.52, Хорошо, 18, 36
Вояджер, ONA, 1, 8 мин, 1, G, 7.51, Хорошо, 0, 3
Золотая мозаика: Миленькие дни, Фильм, 1, 50 мин, 1, PG-13, 7.51, Хорошо, 3, 8
Рыцари магии II, TV Сериал, 29, 24 мин, 1, PG-13, 7.51, Хорошо, 0, 6
Лиричная волшебница Наноха 4: Детонация, Фильм, 1, 1 час 51 мин, 1, PG-13, 7.51, Хорошо, 0, 44
Грехи Кассяна, TV Сериал, 24, 24 мин, 1, R-17, 7.51, Хорошо, 22, 203
Дефрагментация!, TV Сериал, 12, 24 мин, 1, PG-13, 7.51, Хорошо, 28, 202
Электромагнитная подружка, OVA, 2, 42 мин, 1, R-17, 7.51, Хорошо, 43, 159
Эпоха смут 2, TV Сериал, 12, 24 мин, 1, PG-13, 7.51, Хорошо, 0, 4
Пламенный взор Шаны III, TV Сериал, 24, 23 мин, 1, PG-13, 7.51, Хорошо, 23, 69
Судьба/Девочка-волшебница Иллия 3, TV Сериал, 12, 24 мин, 1, PG-13, 7.51, Хорошо, 7, 182
Полёт ведьмы, TV Сериал, 12, 23 мин, 1, PG-13, 7.51, Хорошо, 36, 297
Акватоп белого песка, TV Сериал, 24, 23 мин, 1, PG-13, 7.51, Хорошо, 9, 602
Привет Леди Лин!, TV Сериал, 36, 24 мин, 1, G, 7.51, Хорошо, 0, 3
Спецкласс А, TV Сериал, 24, 24 мин, 1, PG-13, 7.51, Хорошо, 33, 130
Явись Азазель!, TV Сериал, 13, 12 мин, 1, R-17, 7.51, Хорошо, 15, 51
